the	-0.00771462	0.0127064	-0.030541	0.00854467	-0.00897645	0.0117616	-0.00665206	0.00695635	-0.010678	0.00752602
	-0.00122131	0.00637261	-0.0102138	0.0144808	0.00264123	0.0126962	-0.00799353	0.000386648	-2.10062e-06	0.0039522
of	0.00778729	0.0179014	-0.0274197	0.0122808	-0.00219613	0.0148984	-0.00867979	-0.0120236	-0.0106111	0.0268542
to	0.0174251	0.00301419	-0.0322867	0.0102391	-0.00571958	0.00848258	-0.00118	-0.0148848	-0.0102731	0.00798751
and	-0.00256988	0.00175145	-0.0239035	0.00945322	-0.00933976	0.00709656	-0.0214982	-0.00283623	-0.00137508	0.00539811
a	-0.00859501	-0.009366	-0.00442206	-0.00644015	-0.0109455	-0.0109817	0.0125743	0.0169595	0.00701948	-0.000386043
in	-0.00597964	-0.000663253	-0.0115867	0.027362	-0.0124666	0.0123531	-0.011699	0.00163148	-0.00858451	0.00805644
that	0.0137719	0.0092658	-0.0181043	0.00426013	-0.0111649	-0.00441793	0.00484631	-0.00675298	0.00435864	0.0019546
is	0.000252088	-0.0024031	-0.0207806	-0.0135189	-0.00352891	-0.00391933	-0.020169	0.00141877	-0.00372662	0.00911321
for	-0.00704434	-0.0218145	-0.0124716	0.0018361	0.0097533	-0.0077229	0.013091	0.0200143	0.0084074	0.00826514
CITATION	0.00478422	-0.00306819	-0.00376395	-0.0132224	-0.0233701	0.023854	0.00386423	-0.0284383	-0.0306588	0.0188691
are	-0.0130866	-0.0181581	-0.0180017	0.00424498	-0.00505761	-0.013951	0.00568798	-0.000981017	-0.00368154	-0.00729589
as	-0.0081275	0.0127537	-0.00575766	0.00520671	0.00534538	0.0131847	-0.0164447	-0.00143687	0.00335525	-0.00477585
on	-0.0014505	0.000597934	-0.00426309	0.00122394	-0.00912937	-0.00142748	0.00582748	0.00718037	-0.00460816	0.0207951
with	-0.00439784	-0.00753462	-0.0200939	-0.00256607	-0.0187416	0.00114498	-0.0086853	0.0187137	-0.0221822	-0.0202191
SYMBOL	0.0112307	-0.00743592	0.000101137	-0.0198442	0.0108873	-0.0218571	0.0177024	0.00298662	-0.0136457	-0.0119428
we	-0.0300017	-0.00937977	0.0134171	0.00440154	-0.000329409	-0.0148339	0.0153659	0.0605016	0.0483892	-0.0594972
be	0.011409	0.0180119	-0.0347445	0.0106612	-0.00607592	-0.00264703	-0.00601017	-0.000364992	-0.0116662	0.027648
by	-0.0219595	-0.00674779	0.0151832	-0.00341908	0.0184781	0.0102483	0.0169285	0.0123672	-0.00594403	0.00660298
this	-0.00148315	0.00838336	0.000131004	0.0013093	0.00471153	0.00037196	0.0210123	-0.000268956	0.0282176	-0.00494748
or	-0.0139967	0.0132628	-0.0266765	0.0142242	0.00385378	0.0328357	-0.0108695	0.00030466	-0.0219112	0.0108656
which	-0.0256375	-5.18399e-05	0.0114033	0.00576354	-0.00126785	0.0103982	-0.0117597	0.0119289	0.00791737	-0.00877825
an	-0.0118969	-0.00647002	-0.0107085	0.00569947	-0.0269453	0.0184293	-0.0031956	-0.000748849	-0.00880656	-0.0145459
CITATION,	-0.00377565	0.00706125	-0.0192069	0.00266774	-0.0104174	0.00878545	-0.00307994	-0.0315075	-0.0337477	0.026496
The	0.0119337	-0.011184	-0.0479572	0.00433657	-0.0225129	-0.00808673	-0.0153607	0.00819147	0.00365272	0.000940973
have	-0.00752121	-0.00404511	-0.0174455	0.0155923	0.00782937	0.0287005	-0.00691094	-0.000544041	-0.0137156	0.0128084
has	-0.00385496	-0.00487563	-0.0322292	0.00500885	-0.0169093	0.00881615	-0.025107	-0.0297637	-0.0422981	0.0321677
CITATION.	0.0209886	0.00561247	-0.0502125	-0.00690818	-0.00853939	0.0193911	-0.00230478	-0.021564	-0.0171608	0.0296569
model	-0.0109222	-0.0154119	0.00503661	-0.0198596	-0.00553477	0.00986933	0.0188211	0.0324105	-0.0019164	0.00965453
not	-0.000228744	-0.0213118	0.0133595	-0.0120487	0.00737018	-0.0216027	-0.00360283	-0.0205168	-0.00141879	-0.0141459
from	0.000493327	0.00526264	0.00121442	-0.017316	-0.0153367	0.00505989	0.00919838	-0.00657852	-0.00511909	-0.0128619
more	0.00105863	0.011378	-0.0282025	-0.00032311	0.00639202	0.0194712	-0.00268287	0.00986942	-0.0240177	0.0414436
it	-0.0147718	-0.0213982	0.0191455	0.00424724	0.0111317	-0.00591335	-0.00823517	0.00288495	0.00933595	-0.0150191
been	0.00794448	0.00161324	0.00912722	0.0284035	-0.00308254	-0.0141599	-0.0194099	-0.0182846	0.00910986	0.0211734
can	-0.00954175	0.00703698	0.00627572	-0.0124576	0.0181684	0.00528752	-0.00907219	-0.00311637	-0.000512831	0.0131381
these	0.00919611	-0.00353319	-0.0131544	-0.0094049	0.00521732	0.00373979	0.00485011	-0.000277595	0.00084161	-0.000497709
,	-0.0141082	-0.017417	-0.00832131	-0.0146732	0.0135892	-0.00391227	0.0128771	0.0190903	-0.00147708	-0.0114082
between	-0.00435461	0.0126207	-0.00742917	0.012399	-0.01819	0.00897039	-0.0127057	0.00238443	0.0127163	-0.00232836
than	-0.00667749	0.00179296	-0.0146112	0.00484818	-0.00967036	-0.00356148	0.00298038	0.00359711	0.000391875	0.00672236
but	0.00288157	-0.0133122	-0.039425	-0.0247246	-0.00850375	-0.0126004	0.0110065	0.0107652	0.00169063	0.00436625
models	0.006209	0.00599017	-0.0220669	0.00354589	-0.0191368	0.0054551	0.0013204	-0.00748026	-0.025281	0.0242738
one	0.0149869	0.0101707	0.00322501	0.00525125	-0.00267991	0.00166146	0.00583422	-0.0139555	-0.0156085	0.0155378
were	0.010601	-0.00265617	-0.0276535	-0.00472669	-0.0163986	-0.00111326	-0.0151876	0.00278664	0.0128797	-0.0224575
In	-0.0115492	-0.00171344	-0.0461774	-0.0172279	-0.0284029	0.00124376	-0.0115837	0.0178879	-0.0124921	0.0137481
may	0.0169316	0.0224374	-0.00337122	-0.00366034	-0.000509514	0.0168784	-0.00496499	-0.0331123	-0.00432639	0.0288267
